abandonment	abandon
thoughtfulness	think
thirst	thirst
thrashing	thrash
threads	thread
threat	threaten
threshing	thresh
thriller	thrill
throbbing	throb
thrombosis	thrombose
throne	throne
throng	throng
throttling	throttle
thrower	throw
thrum	thrum
thrusting	thrust
thud	thud
thumb	thumb
thumbtack	thumbtack
thumping	thump
thunderer	thunder
thunk	thunk
thwack	thwack
thwarting	thwart
ticking	tick
ticket	ticket
tickling	tickle
ticktack	ticktack
ticktock	ticktock
tidings	tide
tidiness	tidy
tying	tie	tying
tightening	tighten
tiling	tile
tilling	till	tiller
tilt	tilt
timing	time
timetable	timetable
tinning	tin
tincture	tincture
tinge	ting	tinge
tingling	tingle
tinker	tinker
tinkle	tinkle
tinsel	tinsel
tinting	tint
tintinnabulation	tintinnabulate
tip	tip
tippler	tipple
tiptoe	tiptoe
tiresomeness	tire
tissue	tissue
tithing	tithe
titillation	titillate
tittivation	titivate	tittivate
title	title
titration	titrate
titter	titter
tittle-tattle	tittle-tattle
titubation	titubate
toe	toe
toady	toady
toasting	toast
tobogganist	toboggan
toddler	toddle
togs	tog
toggle	toggle
toilsomeness	toil
tolerability	tolerate
tollman	toll
tomahawk	tomahawk
tone	tone
tongue-lashing	tongue-lash
tongue	tongue
tonsure	tonsure
tool	tool
toot	toot
tootle	tootle
topping	top	tope
topple	topple
torch	torch
tormentor	torment
torpedo	torpedo
torrifaction	torrefy	torrify
torturing	torture
toss	toss
tot	tot
totalitarianism	total	totalise	totalize
toter	tote
totter	totter
touching	touch
touchdown	touchdown
tourist	tour
tourney	tourney
tout	tout
tow	tow
towelling	towel
tower	tower
toying	toy
traction	trace
tracking	track
trading	trade
traducement	traduce
trafficator	traffic
trailing	trail
trainman	train
trajectory	traject
tram	tram
trammels	trammel
tramp	tramp
trampling	trample
trance	trance
transparentness	transparent
tranquillization	tranquilize	tranquillize
transactions	transact
transcendentalism	transcend
transconductance	transconduct
transcription	transcribe
transduction	transduce
transection	transect
transferability	transfer
transfigurement	transfigure
transfixion	transfix
transformation	transform
transfusion	transfuse
transgression	transgress
transshipment	tranship	transship
transillumination	transilluminate
transistorization	transistorise	transistorize
transitiveness	transit
translation	translate
transliteration	transliterate
translocation	translocate
transmigration	transmigrate
transmittance	transmit
transmogrification	transmogrify
transmutability	transmute
transpiration	transpire	transpirate
transplantation	transplant
transponder	transponder
transportation	transport
transposability	transpose
transubstantiation	transubstantiate
transudation	transude
transvaluation	transvalue
transversal	transverse
trappings	trap
trash	trash
traumatization	traumatise	traumatize
travail	travail
travelling	travel
traversal	traverse
travesty	travesty
trawler	trawl
tread	tread
treadle	treadle
treasurer	treasure
treatment	treat
treble	treble
tree	tree
trek	trek
trellis	trellis
trembling	tremble
tremor	tremor
trencher	trench
trend	trend
trepanation	trepan
trephination	trephine
trespasser	trespass
triangle	triangle
triangulation	triangulate
tribulation	tribulate
trice	trice
trichinization	trichinise	trichinize
trickery	trick
trickle	trickle
trident	trident
trifling	trifle
trifurcation	trifurcate
trigger	trigger
trillions	trill
trimness	trim
trip	trip
triple-spacing	triple-space
triple-tonguing	triple-tongue
tripling	triple
triplication	triplicate
trisection	trisect
tritiation	tritiate
trituration	triturate
triumph	triumph
trivialization	trivialise	trivialize
troller	troll
trolley	trolley
troopship	troop
tropicalization	tropicalise	tropicalize
trot	trot
troublesomeness	trouble
trouncing	trounce
trowel	trowel
truancy	truant
trucking	truck
truckling	truckle
trudge	trudge
truthfulness	true
trumping	trump
trumpeter	trumpet
truncation	truncate
truncheon	truncheon
trundle	trundle
truss	truss
trustfulness	trust
tryst	try
tubing	tube
tubulation	tubulate
tucker	tuck	tucker
tuft	tuft
tug	tug
tumbling	tumble
tumefaction	tumefy
tunefulness	tune
tunnel	tunnel
turf	turf
turning	turn
tusk	tusk
tussle	tussle
tutorship	tutor
twaddle	twaddle
twang	twang
tweak	tweak
tweeter	tweet
twiddle	twiddle
twig	twig
twill	twill
twin	twin
twine	twine
twinge	twinge
twinkling	twinkle
twirler	twirl
twirp	twirp
twisting	twist
twitting	twit
twitching	twitch
twitter	twitter
typification	type	typify
typewriting	typewrite
tyranny	tyrannise	tyrannize
uglification	uglify
ulceration	ulcerate
ultracentrifugation	ultracentrifuge
ululation	ululate
umpireship	umpire
unbalance	unbalance
uncovering	uncover
undercharge	undercharge
undercoat	undercoat
undercut	undercut
underdevelopment	underdevelop
underdrainage	underdrain
underestimation	underestimate
underexposure	underexpose
underline	underline
undernourishment	undernourish
underpayment	underpay
underpinning	underpin
underrating	underrate
underscore	underscore
understandability	understand
understatement	understate
understudy	understudy
undertaking	undertake
undervaluation	undervalue
underwriter	underwrite
undoing	undo
undress	undress
undulation	undulate
unearth	unearth
unfastening	unfasten
unfitness	unfit
unfolding	unfold
unhorse	unhorse
uniformness	uniform	uniformize
unification	unify
unitarianism	unite	unitize	unionise	unionize
universalization	universe	universalise	universalize
unlikeness	unlike
unloading	unload
unmasking	unmask
unravelment	unravel
unsettlement	unsettle
unsnarling	unsnarl
untangling	untangle
untying	untie
unveiling	unveil
upbraiding	upbraid
updating	update
upending	upend
upgrade	upgrade
upheaval	upheave
upholsterer	upholster
upliftment	uplift
upload	upload
uprightness	upright
uprising	uprise
upset	upset
upspring	upspring
upswing	upswing
urbanization	urbanise	urbanize
urgency	urge
urination	urinate
urtication	urticate
usefulness	use
usher	usher
usurpation	usurp
utilitarianism	utilise	utilize
utterance	utter
vacationist	vacate	vacation
vaccination	vaccinate
vacillation	vacillate
vacuum	vacuum
vagabond	vagabond
valet	valet
validating	validate
valorousness	valorise	valorize
valuation	value	valuate
vamper	vamp
vandalization	vandalise	vandalize
vanishment	vanish
vanquishment	vanquish
vaporization	vapor	vaporise	vaporize
variegation	variegate
variolization	variolate
varnish	varnish
variableness	vary	variate
vaticination	vaticinate
vaulting	vault
vaunter	vaunt
vector	vector
veering	veer
vegetation	vegetate
veiling	veil
vein	vein
velarization	velarize	velarise
velcro	velcro
vellication	vellicate
vendition	vend
veneering	veneer
venerability	venerate
vengefulness	venge	avenge
venting	vent
ventilation	ventilate
ventriloquization	ventriloquise	ventriloquize
venturesomeness	venture
verbalization	verbalise	verbalize
verbification	verbify
verdigris	verdigris
verge	verge
verification	verify
vermiculation	vermiculate
vermilion	vermilion
vernalization	vernalise	vernalize
verse	verse
versification	versify
vesication	vesicate
vesiculation	vesiculate
vestment	vest
vesture	vesture
vet	vet
veto	veto
vexation	vex
vibrations	vibrate
victimization	victimise	victimize
victualler	victual
videotape	videotape
vial	vie	vying
viewing	view
vignette	vignette
vilification	vilify
vindication	vindicate
violability	violate
visa	visa
visitation	visit
visualization	visual	visualise	visualize
vitalization	vitalise	vitalize
vitamine	vitaminize
vitiation	vitiate
vitrification	vitrify
vitriolization	vitriolise	vitriolize
vituperation	vituperate
vivification	vivify
vivisection	vivisect
vocalization	vocalise	vocalize
vociferation	vociferate
voice	voice
voidance	void
volatilization	volatilise	volatilize
volcanization	volcanize	volcanise
volley	volley
volunteer	volunteer
vomiturition	vomit
voodoo	voodoo
voting	vote
vouch	vouch
vouchsafement	vouchsafe
vow	vow
vowelization	vowelise	vowelize
voyager	voyage
vulcanization	vulcanise	vulcanize
vulgarization	vulgarise	vulgarize
wadding	wad
waddle	waddle
wading	wade
wadset	wadset
waffle	waffle
wafture	waft
wag	wag
wages	wage
wagerer	wager
waggle	waggle
wailing	wail
wainscotting	wainscot
waitress	wait	await
waiver	waive
wakefulness	wake
wakening	waken
walking	walk
wall	wall
walloping	wallop
wallow	wallow
wallpaper	wallpaper
waltz	waltz
wanness	wan	wane
wandering	wander
wangling	wangle
wank	wank
want	want
wantonness	wanton
warship	war
warbler	warble
ward	ward
wares	ware
warehouser	warehouse
warmness	warm
warning	warn
warping	warp
warrantor	warrant
washing	wash
wassailer	wassail
wastefulness	waste
watchfulness	watch
water-skiing	water-ski
waterman	water
watercolor	watercolor
waterproofing	waterproof
wattle	wattle
waving	wave
wavering	waver
waxing	wax
weakening	weaken
weaning	wean
wearing	wear
weariness	weary
weasel	weasel
weatherman	weather
weaving	weave
webbing	web
wedding	wed
wedge	wedge
wee-wee	wee-wee
weeness	wee
weeds	weed
weekender	weekend
weepiness	weep
weighting	weigh	weight
weightlifting	weightlift
welcher	welch
welcoming	welcome
weldment	weld
well	well
welshman	welsh
welt	welt
welter	welter
wench	wench
westernization	westernize	westernise
wetting	wet
whacking	whack
whale	whale
wham	wham
whang	whang
wheedling	wheedle
wheeling	wheel
wheeziness	wheeze
whelk	whelk
whelp	whelp
whet	whet
whiff	whiff
while	while
whimpering	whimper
whiner	whine
whinny	whinny
whipping	whip
whipsaw	whipsaw
whirring	whir
whirling	whirl
whirligig	whirligig
whirlpool	whirlpool
whirr	whirr
whish	whish
whiskers	whisk	whisker
whispering	whisper
whistling	whistle
whiteness	white
whitening	whiten
whitewash	whitewash
whizz	whiz	whizz
wholesaler	wholesale
whooper	whoop
whoosh	whoosh
whop	whop
whoredom	whore
whump	whump
widening	widen
widower	widow
wigging	wig
wiggliness	wiggle
wildcatting	wildcat
wilderness	wilder
willfulness	will
wilting	wilt
winsomeness	win
wince	wince
winch	winch
winding	wind
window-shopping	window-shop
winemaking	wine
wingman	wing
winker	wink
winkle	winkle
winnowing	winnow
winterization	winter	winterize	winterise
wiper	wipe
wiring	wire
wireless	wireless
wiretap	wiretap
wisecrack	wisecrack
wishfulness	wish
witness	wit	witness
witchery	witch
withdrawnness	withdraw
withering	wither
withholding	withhold
wobbler	wobble
wolfman	wolf
womanization	womanise	womanize
wonderfulness	wonder
wont	wont
wooing	woo
woof	woof
woolgathering	woolgather
wording	word
work-hardening	work-harden
workings	work
worm	worm
worriment	worry
worsening	worsen
worshiper	worship
worsted	worst
wounding	wound
wow	wow
wrack	wrack
wrangling	wrangle
wrapping	wrap
wreath	wreath	wreathe
wrecking	wreck
wrench	wrench
wrest	wrest
wrestling	wrestle
wrick	wrick
wriggler	wriggle
wringer	wring
wrinkle	wrinkle
writings	write
writhe	writhe
wrongfulness	wrong
x-raying	x-ray
xerox	xerox
yachting	yacht
yack	yack
yak	yak
yankee	yank
yap	yap
yarn	yarn
yaws	yaw
yawl	yawl
yawn	yawn
yearning	yearn
yelling	yell
yellowness	yellow
yelping	yelp
yen	yen
yielding	yield
yip	yip
yodeller	yodel
yoke	yoke
yowling	yowl
zag	zag
zero	zero
zestfulness	zest
zig	zig
zigzag	zigzag
zing	zing
zip	zip
zipper	zipper
zoning	zone
zoom	zoom
